District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Penn. Mid,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn. West,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0
Rhode Island,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,2,2,3,0,1,0,3,3,2,1,5,1,3,1,3,5,7,11,2,5,3,5,2
South Dakota,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tennessee East,1,1,2,0,0,0,0,5,2,2,0,4,2,1,2,4,1,2,1,1,1,1,3
Tennessee Mid,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,3,6,4,3,2,4,5
Tennessee West,0,1,1,0,6,4,6,5,7,7,10,10,5,7,4,6,3,6,2,1,7,5,2
Texas East,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,4,2,3
Texas North,1,0,1,0,2,1,3,0,1,1,0,0,3,1,1,1,3,2,2,3,5,9,6
Texas South,0,0,2,0,1,1,0,2,0,0,1,0,3,0,2,1,0,2,1,0,3,2,4
Texas West,0,0,1,1,0,1,0,6,1,1,2,0,0,1,0,3,4,3,1,2,2,3,9
Utah,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vermont,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Virgin Islands,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Virginia East,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,1,0,0,5,2
Virginia West,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
W Virginia North,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
W Virginia South,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,0,0,2,3,3,1
Washington East,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Washington West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin West,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Wyoming,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1
